229	8490	1
14	6267	14
1328	1140	33
105	5113	18
3361	4441	0
239	9283	17
14	7538	12
101	5212	5
804	6689	6
4568	8244	15
108	4679	18
1439	2376	29
189	4196	5
105	343	6
57	8486	0
28093	9863	0
856	8720	15
2	9570	0
653	9352	5
142	4177	19
130	785	28
153	6536	12
101	8244	10
2217	4611	6
4528	1784	18
951	8808	27
1428	1964	2
12153	7719	27
1068	88	1
15024	1714	20
12	9781	8
4213	6292	5
109	5128	10
57	6212	20
101	9658	10
11213	7126	13
9	921	13
106	3279	25
105	6686	3
103	700	2
9688	3005	6
1558	4970	7
24275	5317	30
185	6317	43
8290	1320	3
162	4579	7
5048	810	8
275	9249	15
15005	7580	15
233	3320	22
57	3491	0
9836	3565	0
866	1073	4
12	6296	10
1220	9349	20
1721	5470	7
1494	3441	3
35529	7842	14
431	3416	9
126	5542	12
2357	2356	26
125	9125	9
17200	9132	24
1050	2654	7
619	454	16
130	627	2
244	8806	8
25679	992	7
1089	5090	7
12	8920	2
33541	9165	14
162	1950	32
480	107	5
105	5751	18
108	1383	6
7153	7050	37
989	7297	5
107	6295	46
37643	4336	23
28501	3463	13
489	3429	10
155	6284	7
125	4007	11
